Question,Predicted SQL,Gold SQL,Database
"What are the names of high school students and their corresponding number of friends, excluding self-friendships, listed in descending order of friend count?","SELECT H.name, COUNT(F.friend_id) AS friend_count FROM Highschooler H JOIN Friend F ON H.ID = F.student_id WHERE F.student_id <> F.friend_id GROUP BY H.name ORDER BY friend_count DESC","SELECT T1.name, COUNT(T2.friend_id) FROM Highschooler AS T1 JOIN Friend AS T2 ON T1.ID = T2.student_id WHERE T1.name != T2.friend_id GROUP BY T1.name ORDER BY COUNT(T2.friend_id) DESC",network_1
"What are the names of countries with a population over 1 million, or located in Asia, or having at least one city with a population over 1 million, listed in descending order by country name, along with the number of languages spoken in each?","SELECT c.Name, COUNT(DISTINCT cl.Language) AS NumberOfLanguages FROM country c LEFT JOIN countrylanguage cl ON c.Code = cl.CountryCode LEFT JOIN city ci ON c.Code = ci.CountryCode WHERE c.Population > 1000000 OR c.Continent = 'Asia' OR ci.Population > 1000000 GROUP BY c.Name ORDER BY c.Name DESC","SELECT T1.Name, COUNT(T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T1.Population > 1000000 OR T1.Continent = 'Asia' OR EXISTS (SELECT * FROM city WHERE Population > 1000000 AND CountryCode = T1.Code) ORDER BY T1.Name DESC",world_1
"What are the names of singers, ordered alphabetically, along with the number of their unique songs that reached the highest position of 1?","SELECT s.Name, COUNT(DISTINCT song.Title) AS Number_of_Songs FROM singer s JOIN song ON s.Singer_ID = song.Singer_ID WHERE song.Highest_Position = 1 GROUP BY s.Name ORDER BY s.Name ASC","SELECT T1.Name, COUNT(DISTINCT T2.Song_ID) FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Highest_Position = 1 GROUP BY T1.Name ORDER BY T1.Name ASC",singer
"For each destination airport, how many unique source airports are there for flights operated by airline 101 or with flight numbers between 100 and 200, or where the destination airport exists in the airports table, and what is the smallest flight number for each?","SELECT f.DestAirport, COUNT(DISTINCT f.SourceAirport) AS UniqueSourceAirports, MIN(f.FlightNo) AS SmallestFlightNo FROM flights f JOIN airports a ON f.DestAirport = a.AirportCode WHERE f.Airline = 101 OR (f.FlightNo BETWEEN 100 AND 200) GROUP BY f.DestAirport","SELECT COUNT(DISTINCT T1.SourceAirport), MIN(T1.FlightNo) FROM flights AS T1 WHERE T1.Airline = 101 OR T1.FlightNo BETWEEN 100 AND 200 OR EXISTS (SELECT 1 FROM airports AS T2 WHERE T2.AirportCode = T1.DestAirport) GROUP BY T1.DestAirport",flight_2
"What are the names of high school students in grades above 9, along with the number of unique people they have friends who like, listed in descending order by student name?","SELECT H.name, COUNT(DISTINCT L.liked_id) AS num_unique_likes FROM Highschooler H JOIN Friend F ON H.ID = F.student_id JOIN Likes L ON F.friend_id = L.student_id WHERE H.grade > 9 GROUP BY H.name ORDER BY H.name DESC","SELECT T1.name, COUNT(DISTINCT T3.liked_id) FROM Highschooler AS T1 JOIN Friend AS T2 ON T1.ID = T2.student_id JOIN Likes AS T3 ON T2.friend_id = T3.student_id WHERE T1.grade > 9 ORDER BY T1.name DESC",network_1
"What are the loser's IOC and winner's IOC for matches where the loser's ID is between 1 and 100, and the winner of one match is the loser of another match, listed in descending order of match number?","SELECT m1.loser_ioc, m2.winner_ioc FROM matches m1 JOIN matches m2 ON m1.winner_id = m2.loser_id WHERE m1.loser_id BETWEEN 1 AND 100 ORDER BY m1.match_num DESC","SELECT M1.loser_ioc, M2.winner_ioc FROM matches M1, matches M2 WHERE M1.match_num = M2.match_num AND M1.winner_id = M2.loser_id AND M1.loser_id BETWEEN 1 AND 100 ORDER BY M1.match_num DESC",wta_1
"What is the nationality and the count of distinct poker players for individuals who are 175 cm tall, listed in ascending order by nationality?","SELECT p.Nationality, COUNT(DISTINCT pp.Poker_Player_ID) AS count FROM people p JOIN poker_player pp ON p.People_ID = pp.People_ID WHERE p.Height = 175 GROUP BY p.Nationality ORDER BY p.Nationality ASC","SELECT T2.Nationality, COUNT(DISTINCT T1.Poker_Player_ID) FROM poker_player AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Height = 175 ORDER BY T2.Nationality ASC",poker_player
"What are the last names of all male students, sorted in descending order by their total age?",SELECT LName FROM Student WHERE Sex = 'M' ORDER BY Age DESC,"SELECT LName, SUM(Age) FROM Student WHERE Sex = 'M' GROUP BY LName ORDER BY SUM(Age) DESC",pets_1
What information is available for all players with a player ID greater than the smallest player ID in the rankings?,"SELECT p.player_id, p.first_name, p.last_name, p.hand, p.birth_date, p.country_code FROM players p WHERE p.player_id > (SELECT MIN(player_id) FROM rankings)",SELECT * FROM players WHERE player_id > (SELECT MIN(player_id) FROM rankings),wta_1
What are the template type codes in the Templates table that are not 'T001' and do not exist in the Ref_Template_Types table?,SELECT DISTINCT t.Template_Type_Code FROM Templates t WHERE t.Template_Type_Code != 'T001' AND t.Template_Type_Code NOT IN (SELECT r.Template_Type_Code FROM Ref_Template_Types r),SELECT Template_Type_Code FROM Templates WHERE Template_Type_Code NOT IN (SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Code = 'T001'),cre_Doc_Template_Mgt
"What is the average age of conductors aged 50 or younger, listed in descending order of age?",SELECT AVG(Age) AS Average_Age FROM conductor WHERE Age <= 50 ORDER BY Age DESC,SELECT AVG(Age) FROM conductor WHERE Age <= 50 ORDER BY Age DESC,orchestra
What is the total vendor requested price for all properties where the agreed selling price is higher than the vendor requested price?,SELECT SUM(vendor_requested_price) AS total_vendor_requested_price FROM Properties WHERE agreed_selling_price > vendor_requested_price,SELECT SUM(T1.vendor_requested_price) FROM Properties AS T1 JOIN Other_Property_Features AS T2 ON T1.property_id = T2.property_id WHERE T1.agreed_selling_price > T1.vendor_requested_price,real_estate_properties
What are the names of up to 10 conductors who are between the ages of 40 and 50?,SELECT Name FROM conductor WHERE Age BETWEEN 40 AND 50 LIMIT 10,SELECT Name FROM conductor WHERE Age BETWEEN 40 AND 50 LIMIT 10,orchestra
What are the first and last names of the 5 youngest students under the age of 20?,"SELECT Fname, LName FROM Student WHERE Age < 20 ORDER BY Age ASC LIMIT 5","SELECT Fname, LName FROM Student WHERE Age < 20 LIMIT 5",pets_1
What are the states of the votes for contestants with a contestant number less than or equal to 10?,SELECT state FROM VOTES WHERE contestant_number <= 10,SELECT T1.state FROM VOTES AS T1 JOIN CONTESTANTS AS T2 ON T1.contestant_number = T2.contestant_number WHERE T1.contestant_number <= 10,voter_1
What are the names of feature types with a code greater than or equal to 'type_code'?,SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'type_code',SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'type_code',real_estate_properties
What are the last names of all female students?,SELECT LName FROM Student WHERE Sex = 'F',SELECT T1.LName FROM Student AS T1 WHERE T1.Sex != 'Male',pets_1
How many players have a ranking in the database?,SELECT COUNT(DISTINCT player_id) FROM rankings,SELECT COUNT(T1.player_id) FROM players AS T1 JOIN rankings AS T2 ON T1.player_id = T2.player_id,wta_1
"What is the highest population among cities with a population of less than 1,000,000?",SELECT MAX(Population) FROM city WHERE Population < 1000000,SELECT MAX(Population) FROM city WHERE Population < 1000000,world_1
"What is the sum of IDs of all cities with a population of 100,000 or less?",SELECT SUM(ID) FROM city WHERE Population <= 100000,SELECT SUM(ID) FROM city AS T1 WHERE T1.Population <= 100000,world_1
What are the template type codes for documents that do not have a template ID between 1 and 10?,SELECT DISTINCT t.Template_Type_Code FROM Templates t WHERE t.Template_ID NOT BETWEEN 1 AND 10,SELECT T.Template_Type_Code FROM Documents D JOIN Templates T ON D.Template_ID = T.Template_ID JOIN Paragraphs P ON P.Document_ID = D.Document_ID JOIN Ref_Template_Types RT ON T.Template_Type_Code = RT.Template_Type_Code WHERE T.Template_Type_Code NOT IN (SELECT Template_Type_Code FROM Templates WHERE Template_ID BETWEEN 1 AND 10),cre_Doc_Template_Mgt
How many unique weekly ranks are there among the top-rated TV series with IDs between 1 and 10?,SELECT COUNT(DISTINCT Weekly_Rank) FROM TV_series WHERE id BETWEEN 1 AND 10,SELECT COUNT(DISTINCT c.Weekly_Rank) FROM TV_series AS c WHERE c.id BETWEEN 1 AND 10 AND Rating = (SELECT MAX(Rating) FROM TV_series),tvshow
What are the start dates for employees hired in shops with IDs between 1 and 10 that have 68 or fewer products?,SELECT h.Start_from FROM hiring h JOIN shop s ON h.Shop_ID = s.Shop_ID WHERE s.Shop_ID BETWEEN 1 AND 10 AND s.Number_products <= 68,SELECT Start_from FROM hiring WHERE Shop_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM shop AS x WHERE  x.Number_products <= 68 AND hiring.Shop_ID = x.Shop_ID),employee_hire_evaluation
"What are the maximum and total professional IDs, last names, and cities of professionals with IDs greater than 39, grouped by city, where the minimum professional ID in each city is greater than 55?","SELECT MAX(professional_id) AS max_professional_id, SUM(professional_id) AS total_professional_id, last_name, city FROM Professionals WHERE professional_id > 39 GROUP BY city HAVING MIN(professional_id) > 55","SELECT MAX(l.professional_id), SUM(l.professional_id), l.last_name, l.city FROM Professionals AS l WHERE  l.professional_id > 39 GROUP BY l.city HAVING MIN(l.professional_id) > 55",dog_kennels
"What are the distinct weights and treatment types for dogs that have received treatments with a minimum cost of less than $52, considering only treatments with IDs greater than 29?","SELECT DISTINCT d.weight, tt.treatment_type_description FROM Dogs d JOIN Treatments t ON d.dog_id = t.dog_id JOIN Treatment_Types tt ON t.treatment_type_code = tt.treatment_type_code WHERE t.treatment_id > 29 AND t.cost_of_treatment < 52","SELECT COUNT(DISTINCT weight), Treatments.treatment_type_code FROM Dogs JOIN Treatments JOIN Treatment_Types ON Dogs.dog_id = Treatments.dog_id AND Treatment_Types.treatment_type_code = Treatments.treatment_type_code WHERE  treatment_id > 29 GROUP BY Treatments.treatment_type_code HAVING MIN(cost_of_treatment) < 52",dog_kennels
How many distinct majors are there among students who are between 1 and 10 years old and have a pet with a PetID of 60 or less?,SELECT COUNT(DISTINCT Major) FROM Student WHERE Age BETWEEN 1 AND 10 AND StuID IN (SELECT StuID FROM Has_Pet WHERE PetID <= 60),SELECT COUNT(DISTINCT T1.Major) FROM Student AS T1 INNER JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID INNER JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Age BETWEEN 1 AND 10 AND T2.PetID <= 60,pets_1
"What are the names and shortest heights of all individuals (excluding the person with ID 73), listed in descending order of their IDs?","SELECT p.Name, MIN(p.Height) AS Shortest_Height FROM people p WHERE p.People_ID != 73 GROUP BY p.People_ID, p.Name ORDER BY p.People_ID DESC","SELECT MIN(p.Height), p.People_ID, p.Name FROM people AS p WHERE p.People_ID != 73 GROUP BY p.People_ID, p.Name ORDER BY p.People_ID DESC",poker_player
"What is the total count, maximum number of products, and the corresponding district and shop name for all shops with between 1 and 10 products, grouped by district and shop name?","SELECT COUNT(*) AS total_count, MAX(Number_products) AS max_products, District, Name FROM shop WHERE Number_products BETWEEN 1 AND 10 GROUP BY District, Name","SELECT COUNT(*), MAX(Number_products), District, Name FROM shop WHERE Number_products BETWEEN 1 AND 10 GROUP BY District, Name;",employee_hire_evaluation
What are the last three country IDs (in descending order) from the countries with IDs between 1 and 10?,SELECT CountryId FROM countries WHERE CountryId BETWEEN 1 AND 10 ORDER BY CountryId DESC LIMIT 3,SELECT CountryId FROM countries WHERE CountryId BETWEEN 1 AND 10 ORDER BY CountryId DESC LIMIT 3,car_1
"What are the feature IDs of the 6 properties with the highest feature IDs among those with property IDs greater than 100, listed in descending order of feature ID?",SELECT feature_id FROM Other_Property_Features WHERE property_id > 100 ORDER BY feature_id DESC LIMIT 6,SELECT c.feature_id FROM Other_Property_Features AS c WHERE  c.property_id > 100 ORDER BY c.feature_id DESC LIMIT 6,real_estate_properties
"What are the player IDs of all players with a player ID greater than 74, listed in ascending order of player ID?",SELECT player_id FROM players WHERE player_id > 74 ORDER BY player_id ASC,"SELECT player_id, player_id, player_id FROM players WHERE  player_id > 74 ORDER BY player_id ASC",wta_1
What are the names and hometowns of teachers with a Teacher ID of 28 or less?,"SELECT Name, Hometown FROM teacher WHERE Teacher_ID <= 28","SELECT a.Hometown, a.Name FROM teacher AS a WHERE a.Teacher_ID <= 28",course_teach
What are the unique 'other details' and their corresponding department descriptions for all departments excluding the one with department ID 53?,"SELECT DISTINCT other_details, department_description FROM Departments WHERE department_id != 53","SELECT COUNT(DISTINCT g.other_details), g.department_description, g.other_details FROM Departments AS g WHERE  g.department_id != 53",student_transcripts_tracking
"What languages, along with their official status, are spoken in countries at a percentage between 1% and less than 30%?","SELECT Language, IsOfficial FROM countrylanguage WHERE Percentage >= 1 AND Percentage < 30","SELECT Language, IsOfficial FROM countrylanguage WHERE Percentage BETWEEN 1 AND 10 AND  Percentage < 30",world_1
"What is the count of distinct teacher names and their respective ages for teachers with a Teacher ID less than 79, grouped by age?","SELECT COUNT(DISTINCT Name) AS count_names, Age FROM teacher WHERE Teacher_ID < 79 GROUP BY Age","SELECT COUNT(DISTINCT t.Name), t.Age FROM teacher AS t WHERE  t.Teacher_ID < 79 GROUP BY t.Age;",course_teach
What are the Show IDs for shows with an ID of 95 or less?,SELECT Show_ID FROM show WHERE Performance_ID <= 95,SELECT Show_ID FROM show WHERE  Show_ID <= 95,orchestra
What is the contestant number of a single contestant?,SELECT contestant_number FROM CONTESTANTS LIMIT 1,SELECT z.contestant_number FROM CONTESTANTS AS z LIMIT 1,voter_1
What are the transcript IDs for all transcripts with an ID greater than 33?,SELECT transcript_id FROM Transcripts WHERE transcript_id > 33,SELECT transcript_id FROM Transcripts WHERE  transcript_id > 33,student_transcripts_tracking
What is the sum of all Teacher IDs in the teacher table?,SELECT SUM(Teacher_ID) FROM teacher,SELECT SUM(Teacher_ID) FROM teacher;,course_teach
What are the other details for all sections of courses with IDs ranging from 1 to 10?,"SELECT section_id, course_id, section_name, section_description, other_details FROM Sections WHERE course_id BETWEEN 1 AND 10",SELECT other_details FROM Sections WHERE course_id BETWEEN 1 AND 10,student_transcripts_tracking
